day,time,key,value
30,"00	",EL,0.1
30,"01	",EL,0.1
30,"02	",EL,0.1
30,"03	",EL,0.38
30,"04	",EL,0.3
30,"05	",EL,0.09
30,"06	",EL,0.09
30,"07	",EL,0.16
30,"08	",EL,0.51
30,"09	",EL,1.18
30,"10	",EL,1.37
30,"11	",EL,0.64
30,"12	",EL,0.92
30,"13	",EL,1.03
30,"14	",EL,1.27
30,"15	",EL,0.58
30,"16	",EL,0.61
30,"17	",EL,1.13
30,"18	",EL,0.55
30,"19	",EL,0.45
30,"20	",EL,1.07
30,"21	",EL,0.63
30,"22	",EL,1.14
30,"23	",EL,0.56
31,"00	",EL,0.4
31,"01	",EL,0.12
31,"02	",EL,0.15
31,"03	",EL,0.11
31,"04	",EL,0.09
31,"05	",EL,0.1
31,"06	",EL,0.32
31,"07	",EL,0.37
31,"08	",EL,0.12
31,"09	",EL,0.49
31,"10	",EL,0.78
31,"11	",EL,0.63
31,"12	",EL,0.43
31,"13	",EL,0.2
31,"14	",EL,0.43
31,"15	",EL,0.28
31,"16	",EL,0.39
31,"17	",EL,0.41
31,"18	",EL,0.17
31,"19	",EL,0.14
31,"20	",EL,0.38
31,"21	",EL,1.8
31,"22	",EL,0.79
31,"23	",EL,0.38
1,"00	",EL,0.2
1,"01	",EL,0.09
1,"02	",EL,0.11
1,"03	",EL,0.08
1,"04	",EL,0.22
1,"05	",EL,0.39
1,"06	",EL,0.15
1,"07	",EL,0.08
1,"08	",EL,0.1
1,"09	",EL,0.7
1,"10	",EL,2.92
1,"11	",EL,1.94
1,"12	",EL,2.99
1,"13	",EL,2.46
1,"14	",EL,1.05
1,"15	",EL,0.47
1,"16	",EL,0.75
1,"17	",EL,0.47
1,"18	",EL,0.76
1,"19	",EL,0.53
1,"20	",EL,0.45
1,"21	",EL,0.35
1,"22	",EL,0.58
1,"23	",EL,0.37
2,"00	",EL,0.11
2,"01	",EL,0.09
2,"02	",EL,0.09
2,"03	",EL,0.11
2,"04	",EL,0.09
2,"05	",EL,0.38
2,"06	",EL,0.43
2,"07	",EL,0.24
2,"08	",EL,0.11
2,"09	",EL,0.24
2,"10	",EL,0.23
2,"11	",EL,0.12
2,"12	",EL,0.08
2,"13	",EL,0.33
2,"14	",EL,0.36
2,"15	",EL,0.31
2,"16	",EL,0.96
2,"17	",EL,0.42
2,"18	",EL,0.63
2,"19	",EL,0.8
2,"20	",EL,0.36
2,"21	",EL,0.46
2,"22	",EL,0.45
2,"23	",EL,0.23
3,"00	",EL,0.1
3,"01	",EL,0.11
3,"02	",EL,0.09
3,"03	",EL,0.09
3,"04	",EL,0.21
3,"05	",EL,0.46
3,"06	",EL,0.16
3,"07	",EL,0.08
3,"08	",EL,0.1
3,"09	",EL,0.26
3,"10	",EL,0.23
3,"11	",EL,0.14
3,"12	",EL,0.38
3,"13	",EL,0.26
3,"14	",EL,0.14
3,"15	",EL,0.09
3,"16	",EL,1.01
3,"17	",EL,0.5
3,"18	",EL,0.42
3,"19	",EL,0.45
3,"20	",EL,0.46
3,"21	",EL,0.16
3,"22	",EL,0.24
3,"23	",EL,0.1
4,"00	",EL,0.1
4,"01	",EL,0.09
4,"02	",EL,0.14
4,"03	",EL,0.39
4,"04	",EL,0.25
4,"05	",EL,0.17
4,"06	",EL,0.1
4,"07	",EL,0.09
4,"08	",EL,0.12
4,"09	",EL,0.22
4,"10	",EL,0.44
4,"11	",EL,0.39
4,"12	",EL,0.12
4,"13	",EL,0.25
4,"14	",EL,1.06
4,"15	",EL,0.48
4,"16	",EL,0.45
4,"17	",EL,1.2
4,"18	",EL,1.14
4,"19	",EL,0.54
4,"20	",EL,0.16
4,"21	",EL,0.17
4,"22	",EL,0.31
4,"23	",EL,0.2
5,"00	",EL,0.1
5,"01	",EL,0.37
5,"02	",EL,0.3
5,"03	",EL,0.09
5,"04	",EL,0.09
5,"05	",EL,0.16
5,"06	",EL,0.17
5,"07	",EL,0.19
5,"08	",EL,0.36
5,"09	",EL,0.46
5,"10	",EL,0.25
5,"11	",EL,0.1
5,"12	",EL,0.09
5,"13	",EL,0.08
5,"14	",EL,0.39
5,"15	",EL,0.54
5,"16	",EL,0.83
5,"17	",EL,0.56
5,"18	",EL,0.41
5,"19	",EL,0.47
5,"20	",EL,0.4
5,"21	",EL,0.28
5,"22	",EL,0.29
5,"23	",EL,0.36
6,"00	",EL,0.38
6,"01	",EL,0.11
6,"02	",EL,0.08
6,"03	",EL,0.08
6,"04	",EL,0.1
6,"05	",EL,0.13
6,"06	",EL,0.4
6,"07	",EL,0.4
6,"08	",EL,0.74
6,"09	",EL,0.36
6,"10	",EL,0.54
6,"11	",EL,0.49
6,"12	",EL,0.42
6,"13	",EL,0.46
6,"14	",EL,0.6
6,"15	",EL,0.38
6,"16	",EL,0.85
6,"17	",EL,0.48
6,"18	",EL,0.48
6,"19	",EL,0.47
6,"20	",EL,0.69
6,"21	",EL,0.68
6,"22	",EL,0.44
6,"23	",EL,0.18
7,"00	",EL,0.1
7,"01	",EL,0.09
7,"02	",EL,0.08
7,"03	",EL,0.1
7,"04	",EL,0.33
7,"05	",EL,0.34
7,"06	",EL,0.1
7,"07	",EL,0.54
7,"08	",EL,0.93
7,"09	",EL,0.64
7,"10	",EL,0.48
7,"11	",EL,0.31
7,"12	",EL,0.37
7,"13	",EL,0.19
7,"14	",EL,0.15
7,"15	",EL,0.42
7,"16	",EL,0.38
7,"17	",EL,0.61
7,"18	",EL,0.65
7,"19	",EL,0.71
7,"20	",EL,0.45
7,"21	",EL,1
7,"22	",EL,0.35
7,"23	",EL,0.19
8,"00	",EL,0.1
8,"01	",EL,0.22
8,"02	",EL,0.39
8,"03	",EL,0.16
8,"04	",EL,0.14
8,"05	",EL,0.11
8,"06	",EL,0.09
8,"07	",EL,0.11
8,"08	",EL,1.26
8,"09	",EL,3.32
8,"10	",EL,2.45
8,"11	",EL,2.43
8,"12	",EL,0.66
8,"13	",EL,0.1
8,"14	",EL,0.09
8,"15	",EL,1.17
8,"16	",EL,2.08
8,"17	",EL,1.24
8,"18	",EL,0.68
8,"19	",EL,0.48
8,"20	",EL,0.46
8,"21	",EL,0.37
8,"22	",EL,0.26
8,"23	",EL,0.31
9,"00	",EL,0.13
9,"01	",EL,0.16
9,"02	",EL,0.4
9,"03	",EL,0.19
9,"04	",EL,0.09
9,"05	",EL,0.11
9,"06	",EL,0.13
9,"07	",EL,0.09
9,"08	",EL,0.14
9,"09	",EL,0.38
9,"10	",EL,0.53
9,"11	",EL,0.16
9,"12	",EL,0.08
9,"13	",EL,0.09
9,"14	",EL,0.18
9,"15	",EL,1.37
9,"16	",EL,0.82
9,"17	",EL,0.64
9,"18	",EL,0.73
9,"19	",EL,0.46
9,"20	",EL,0.4
9,"21	",EL,0.3
9,"22	",EL,0.29
9,"23	",EL,0.18
10,"00	",EL,0.11
10,"01	",EL,0.33
10,"02	",EL,0.33
10,"03	",EL,0.09
10,"04	",EL,0.11
10,"05	",EL,0.2
10,"06	",EL,0.09
10,"07	",EL,0.16
10,"08	",EL,0.21
10,"09	",EL,0.45
10,"10	",EL,0.4
10,"11	",EL,0.14
10,"12	",EL,0.1
10,"13	",EL,0.11
10,"14	",EL,1.05
10,"15	",EL,0.98
10,"16	",EL,0.81
10,"17	",EL,0.9
10,"18	",EL,0.66
10,"19	",EL,0.48
10,"20	",EL,0.43
10,"21	",EL,0.26
10,"22	",EL,0.33
10,"23	",EL,0.19
11,"00	",EL,0.09
11,"01	",EL,0.29
11,"02	",EL,0.37
11,"03	",EL,0.08
11,"04	",EL,0.09
11,"05	",EL,0.18
11,"06	",EL,0.2
11,"07	",EL,0.18
11,"08	",EL,0.2
11,"09	",EL,0.31
11,"10	",EL,0.5
11,"11	",EL,0.21
11,"12	",EL,0.09
11,"13	",EL,0.21
11,"14	",EL,0.23
11,"15	",EL,0.24
11,"16	",EL,1.12
11,"17	",EL,0.51
11,"18	",EL,0.75
11,"19	",EL,0.56
11,"20	",EL,0.34
11,"21	",EL,0.16
11,"22	",EL,0.23
11,"23	",EL,0.1
12,"00	",EL,0.09
12,"01	",EL,0.08
12,"02	",EL,0.3
12,"03	",EL,0.35
12,"04	",EL,0.17
12,"05	",EL,0.15
12,"06	",EL,0.1
12,"07	",EL,0.09
12,"08	",EL,0.09
12,"09	",EL,0.09
12,"10	",EL,0.29
12,"11	",EL,0.39
12,"12	",EL,0.15
12,"13	",EL,0.09
12,"14	",EL,0.31
12,"15	",EL,0.53
12,"16	",EL,0.91
12,"17	",EL,0.47
12,"18	",EL,0.52
12,"19	",EL,1.01
12,"20	",EL,0.6
12,"21	",EL,0.41
12,"22	",EL,0.35
12,"23	",EL,0.17
13,"00	",EL,0.09
13,"01	",EL,0.09
13,"02	",EL,0.14
13,"03	",EL,0.39
13,"04	",EL,0.22
13,"05	",EL,0.09
13,"06	",EL,0.16
13,"07	",EL,0.19
13,"08	",EL,0.18
13,"09	",EL,0.13
13,"10	",EL,0.16
13,"11	",EL,0.39
13,"12	",EL,0.23
13,"13	",EL,0.37
13,"14	",EL,1.15
13,"15	",EL,0.85
13,"16	",EL,0.14
13,"17	",EL,0.1
13,"18	",EL,0.16
13,"19	",EL,0.38
13,"20	",EL,0.22
13,"21	",EL,0.09
13,"22	",EL,0.1
13,"23	",EL,0.26
14,"00	",EL,0.11
14,"01	",EL,0.09
14,"02	",EL,0.25
14,"03	",EL,0.38
14,"04	",EL,0.12
14,"05	",EL,0.12
14,"06	",EL,0.19
14,"07	",EL,0.36
14,"08	",EL,0.47
14,"09	",EL,0.61
14,"10	",EL,0.81
14,"11	",EL,0.88
14,"12	",EL,0.46
14,"13	",EL,0.34
14,"14	",EL,0.41
14,"15	",EL,0.69
14,"16	",EL,0.82
14,"17	",EL,1.04
14,"18	",EL,0.56
14,"19	",EL,0.56
14,"20	",EL,0.47
14,"21	",EL,0.39
14,"22	",EL,0.31
14,"23	",EL,0.33
15,"00	",EL,0.41
15,"01	",EL,0.2
15,"02	",EL,0.11
15,"03	",EL,0.1
15,"04	",EL,0.09
15,"05	",EL,0.2
15,"06	",EL,0.53
15,"07	",EL,0.53
15,"08	",EL,0.25
15,"09	",EL,1.3
15,"10	",EL,3.09
15,"11	",EL,2.55
15,"12	",EL,2.48
15,"13	",EL,2.6
15,"14	",EL,0.94
15,"15	",EL,0.73
15,"16	",EL,1.16
15,"17	",EL,0.49
15,"18	",EL,0.48
15,"19	",EL,0.55
15,"20	",EL,0.48
15,"21	",EL,0.45
15,"22	",EL,0.38
15,"23	",EL,0.25
16,"00	",EL,0.2
16,"01	",EL,0.4
16,"02	",EL,0.14
16,"03	",EL,0.09
16,"04	",EL,0.11
16,"05	",EL,0.23
16,"06	",EL,0.12
16,"07	",EL,0.12
16,"08	",EL,0.15
16,"09	",EL,0.45
16,"10	",EL,0.33
16,"11	",EL,0.34
16,"12	",EL,0.44
16,"13	",EL,0.46
16,"14	",EL,0.34
16,"15	",EL,0.15
16,"16	",EL,1.95
16,"17	",EL,0.84
16,"18	",EL,0.51
16,"19	",EL,0.52
16,"20	",EL,0.47
16,"21	",EL,0.43
16,"22	",EL,0.34
16,"23	",EL,0.22
17,"00	",EL,0.21
17,"01	",EL,0.39
17,"02	",EL,0.15
17,"03	",EL,0.09
17,"04	",EL,0.09
17,"05	",EL,0.24
17,"06	",EL,0.08
17,"07	",EL,0.09
17,"08	",EL,0.29
17,"09	",EL,0.45
17,"10	",EL,0.18
17,"11	",EL,0.32
17,"12	",EL,0.39
17,"13	",EL,0.42
17,"14	",EL,0.24
17,"15	",EL,0.58
17,"16	",EL,0.84
17,"17	",EL,0.68
17,"18	",EL,0.47
17,"19	",EL,0.49
17,"20	",EL,0.33
17,"21	",EL,0.27
17,"22	",EL,0.3
17,"23	",EL,0.34
18,"00	",EL,0.39
18,"01	",EL,0.15
18,"02	",EL,0.09
18,"03	",EL,0.13
18,"04	",EL,0.12
18,"05	",EL,0.16
18,"06	",EL,0.09
18,"07	",EL,0.37
18,"08	",EL,0.29
18,"09	",EL,0.14
18,"10	",EL,0.19
18,"11	",EL,0.31
18,"12	",EL,0.29
18,"13	",EL,0.16
18,"14	",EL,0.44
18,"15	",EL,2.08
18,"16	",EL,2.94
18,"17	",EL,1.48
18,"18	",EL,1.95
18,"19	",EL,0.82
18,"20	",EL,0.39
18,"21	",EL,0.27
18,"22	",EL,0.31
18,"23	",EL,0.26
19,"00	",EL,0.11
19,"01	",EL,0.21
19,"02	",EL,0.4
19,"03	",EL,0.13
19,"04	",EL,0.1
19,"05	",EL,0.16
19,"06	",EL,0.09
19,"07	",EL,0.09
19,"08	",EL,0.09
19,"09	",EL,0.13
19,"10	",EL,0.26
19,"11	",EL,0.33
19,"12	",EL,0.41
19,"13	",EL,0.42
19,"14	",EL,0.42
19,"15	",EL,0.5
19,"16	",EL,1.11
19,"17	",EL,0.98
19,"18	",EL,1.16
19,"19	",EL,0.65
19,"20	",EL,1.08
19,"21	",EL,0.58
19,"22	",EL,0.43
19,"23	",EL,0.29
20,"00	",EL,0.12
20,"01	",EL,0.1
20,"02	",EL,0.11
20,"03	",EL,0.11
20,"04	",EL,0.09
20,"05	",EL,1.25
20,"06	",EL,1.33
20,"07	",EL,0.4
20,"08	",EL,1.15
20,"09	",EL,1.07
20,"10	",EL,0.45
20,"11	",EL,0.64
20,"12	",EL,1.67
20,"13	",EL,1.98
20,"14	",EL,1.26
20,"15	",EL,0.96
20,"16	",EL,0.68
20,"17	",EL,0.76
20,"18	",EL,0.54
20,"19	",EL,0.54
20,"20	",EL,0.46
20,"21	",EL,0.54
20,"22	",EL,1.24
20,"23	",EL,0.73
21,"00	",EL,0.5
21,"01	",EL,0.34
21,"02	",EL,0.17
21,"03	",EL,0.12
21,"04	",EL,0.1
21,"05	",EL,0.11
21,"06	",EL,0.1
21,"07	",EL,0.1
21,"08	",EL,0.11
21,"09	",EL,1.35
21,"10	",EL,1.01
21,"11	",EL,0.58
21,"12	",EL,0.16
21,"13	",EL,0.35
21,"14	",EL,0.27
21,"15	",EL,0.11
21,"16	",EL,0.1
21,"17	",EL,0.1
21,"18	",EL,0.15
21,"19	",EL,0.11
21,"20	",EL,0.1
21,"21	",EL,0.1
21,"22	",EL,0.2
21,"23	",EL,0.47
22,"00	",EL,0.41
22,"01	",EL,0.32
22,"02	",EL,0.09
22,"03	",EL,0.12
22,"04	",EL,0.09
22,"05	",EL,0.11
22,"06	",EL,0.09
22,"07	",EL,0.09
22,"08	",EL,0.28
22,"09	",EL,0.77
22,"10	",EL,0.47
22,"11	",EL,1.07
22,"12	",EL,0.47
22,"13	",EL,0.46
22,"14	",EL,0.59
22,"15	",EL,0.65
